App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:13 PM","17 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
App State 377,"VectorAdd::OpenCL(GPU)::Compile::Start",Start Time: 7.60 s,End Time: 7.64 s
Sensor Id,Name,Type,Average
206,"Battery Status",Battery Status,0.0
332,"Battery Power",Power Measurements [uW],2762015.0
App State 378,"VectorAdd::OpenCL(GPU)::Compile::Stop",Start Time: 7.64 s,End Time: 7.64 s
Sensor Id,Name,Type,Average
App State 17,"VectorAdd::OpenCL(GPU)::Setup::Start",Start Time: 7.64 s,End Time: 7.65 s
Sensor Id,Name,Type,Average
App State 18,"VectorAdd::OpenCL(GPU)::Setup::Stop",Start Time: 7.65 s,End Time: 7.65 s
Sensor Id,Name,Type,Average
App State 640,"VectorAdd::OpenCL(GPU)::Allocate::Stop",Start Time: 7.65 s,End Time: 7.66 s
Sensor Id,Name,Type,Average
App State 308,"VectorAdd::OpenCL(GPU)::CopyTo::Start",Start Time: 7.66 s,End Time: 7.66 s
Sensor Id,Name,Type,Average
App State 309,"VectorAdd::OpenCL(GPU)::CopyTo::Stop",Start Time: 7.66 s,End Time: 7.70 s
Sensor Id,Name,Type,Average
App State 597,"VectorAdd::OpenCL(GPU)::Compute::Start",Start Time: 7.70 s,End Time: 8.01 s
Sensor Id,Name,Type,Average
206,"Battery Status",Battery Status,0.0
332,"Battery Power",Power Measurements [uW],2534559.3333333335
App State 598,"VectorAdd::OpenCL(GPU)::Compute::Stop",Start Time: 8.01 s,End Time: 8.01 s
Sensor Id,Name,Type,Average
App State 843,"VectorAdd::OpenCL(GPU)::CopyFrom::Start",Start Time: 8.01 s,End Time: 8.01 s
Sensor Id,Name,Type,Average
App State 844,"VectorAdd::OpenCL(GPU)::CopyFrom::Stop",Start Time: 8.01 s,End Time: 8.02 s
Sensor Id,Name,Type,Average
App State 808,"VectorAdd::OpenCL(GPU)::Free::Start",Start Time: 8.02 s,End Time: 8.02 s
Sensor Id,Name,Type,Average
App State 809,"VectorAdd::OpenCL(GPU)::Free::Stop",Start Time: 8.02 s,End Time: 8.20 s
Sensor Id,Name,Type,Average
206,"Battery Status",Battery Status,0.0
332,"Battery Power",Power Measurements [uW],2841518.0
App State 0,":: :: :: ::",Start Time: 8.20 s,End Time: 16.99 s
Sensor Id,Name,Type,Average
206,"Battery Status",Battery Status,0.0
332,"Battery Power",Power Measurements [uW],2149909.6704545454

