App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:47:45 PM","4 min 10 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
14660,0,14780,2920241,13858,368,Tpacf::Java::IO::Start,
14760,0,14882,2400926,13958,368,Tpacf::Java::IO::Start,
14860,0,14981,3568346,14058,368,Tpacf::Java::IO::Start,
14961,0,15089,2492183,14159,368,Tpacf::Java::IO::Start,
15061,0,15182,2616682,14259,368,Tpacf::Java::IO::Start,
15161,0,15282,3282444,14359,368,Tpacf::Java::IO::Start,
15261,0,15382,2837693,14459,368,Tpacf::Java::IO::Start,
15361,0,15482,3680632,14560,368,Tpacf::Java::IO::Start,
15462,0,15582,2838348,14660,368,Tpacf::Java::IO::Start,
15562,0,15683,3688836,14760,368,Tpacf::Java::IO::Start,
15662,0,15782,2798278,14861,368,Tpacf::Java::IO::Start,
15763,0,15883,3713402,14961,368,Tpacf::Java::IO::Start,
15863,0,15985,2955905,15061,368,Tpacf::Java::IO::Start,
15964,0,16088,3527978,15161,368,Tpacf::Java::IO::Start,
16064,0,16195,3628115,15261,368,Tpacf::Java::IO::Start,
16164,0,16285,3138405,15362,368,Tpacf::Java::IO::Start,
16265,0,16385,2876241,15462,368,Tpacf::Java::IO::Start,
16365,0,16486,3080900,15562,368,Tpacf::Java::IO::Start,
16466,0,16587,3504399,15662,368,Tpacf::Java::IO::Start,
16566,0,16687,3308871,15763,368,Tpacf::Java::IO::Start,
16667,0,16787,3400016,15863,368,Tpacf::Java::IO::Start,
16767,0,16887,3513098,15964,368,Tpacf::Java::IO::Start,
16867,0,16988,3508013,16064,368,Tpacf::Java::IO::Start,
16967,0,17087,2752171,16165,368,Tpacf::Java::IO::Start,
17068,0,17194,2867587,16265,368,Tpacf::Java::IO::Start,
17168,0,17290,3672188,16366,368,Tpacf::Java::IO::Start,
17268,0,17389,2567162,16466,368,Tpacf::Java::IO::Start,
17368,0,17491,2544855,16567,368,Tpacf::Java::IO::Start,
17469,0,17590,3481935,16667,368,Tpacf::Java::IO::Start,
