App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:39:43 PM","1 min 33 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
19172,0,19299,2587424,17764,836,Histogram::Java::IO::Start,
19273,0,19392,2422511,17865,836,Histogram::Java::IO::Start,
19373,0,19493,2473716,17965,836,Histogram::Java::IO::Start,
19473,0,19593,2467268,18067,836,Histogram::Java::IO::Start,
19573,0,19693,2459104,18166,836,Histogram::Java::IO::Start,
19673,0,19793,2492460,18266,836,Histogram::Java::IO::Start,
19774,0,19894,2520961,18367,836,Histogram::Java::IO::Start,
19874,0,19995,2453885,18468,836,Histogram::Java::IO::Start,
19975,0,20096,2531953,18568,836,Histogram::Java::IO::Start,
20075,0,20197,2437020,18670,836,Histogram::Java::IO::Start,
20176,0,20299,3134340,18771,836,Histogram::Java::IO::Start,
20276,0,20402,2644095,18872,836,Histogram::Java::IO::Start,
20377,0,20499,2434460,18973,836,Histogram::Java::IO::Start,
20478,0,20604,3377619,19072,836,Histogram::Java::IO::Start,
20578,0,20700,3382038,19172,836,Histogram::Java::IO::Start,
20678,0,20799,3041793,19273,836,Histogram::Java::IO::Start,
20779,0,20900,2729638,19373,836,Histogram::Java::IO::Start,
20880,0,21001,3070938,19473,836,Histogram::Java::IO::Start,
20980,0,21102,2993334,19573,836,Histogram::Java::IO::Start,
21081,0,21201,3097671,19674,836,Histogram::Java::IO::Start,
21181,0,21303,3108621,19774,836,Histogram::Java::IO::Start,
21282,0,21404,2908406,19874,836,Histogram::Java::IO::Start,
21382,0,21503,3117011,19975,836,Histogram::Java::IO::Start,
21483,0,21604,3176991,20076,836,Histogram::Java::IO::Start,
21584,0,21705,3056789,20176,836,Histogram::Java::IO::Start,
21684,0,21805,3079026,20276,836,Histogram::Java::IO::Start,
21784,0,21906,3334633,20378,836,Histogram::Java::IO::Start,
21885,0,22008,3830762,20478,836,Histogram::Java::IO::Start,
21988,0,22109,3702301,20578,836,Histogram::Java::IO::Start,
22088,0,22209,4052225,20593,837,Histogram::Java::IO::Stop,
22189,0,22310,3354175,20596,563,Histogram::Java::Allocate::Start,
22289,0,22426,3111160,20597,564,Histogram::Java::Allocate::Stop,
22390,0,22522,3192974,20625,425,Histogram::Java::Compute::Start,
22490,0,22611,2875901,20679,425,Histogram::Java::Compute::Start,
22590,0,22711,2624568,20779,425,Histogram::Java::Compute::Start,
22691,0,22812,2649051,20880,425,Histogram::Java::Compute::Start,
22791,0,22912,3565470,20981,425,Histogram::Java::Compute::Start,
22891,0,23013,3202023,21081,425,Histogram::Java::Compute::Start,
22992,0,23112,3468198,21181,425,Histogram::Java::Compute::Start,
23092,0,23213,2965774,21282,425,Histogram::Java::Compute::Start,
23193,0,23315,3315647,21383,425,Histogram::Java::Compute::Start,
23294,0,23415,3080711,21483,425,Histogram::Java::Compute::Start,
23394,0,23520,4540176,21584,425,Histogram::Java::Compute::Start,
23497,0,23626,3405730,21684,425,Histogram::Java::Compute::Start,
23597,0,23717,2716194,21785,425,Histogram::Java::Compute::Start,
23697,0,23767,2396709,21885,425,Histogram::Java::Compute::Start,
23747,0,23874,1918099,21988,425,Histogram::Java::Compute::Start,
23847,0,23968,2408232,22089,425,Histogram::Java::Compute::Start,
23948,0,24069,2466184,22189,425,Histogram::Java::Compute::Start,
24048,0,24172,2610164,22290,425,Histogram::Java::Compute::Start,
24148,0,24269,2347366,22390,425,Histogram::Java::Compute::Start,
24249,0,24370,2460296,22490,425,Histogram::Java::Compute::Start,
24349,0,24470,2299786,22590,425,Histogram::Java::Compute::Start,
24449,0,24573,2616266,22691,425,Histogram::Java::Compute::Start,
24550,0,24679,2669646,22791,425,Histogram::Java::Compute::Start,
24650,0,24771,2533739,22891,425,Histogram::Java::Compute::Start,
24750,0,24873,2913673,22992,425,Histogram::Java::Compute::Start,
24850,0,24971,2470854,23092,425,Histogram::Java::Compute::Start,
24951,0,25072,2475390,23193,425,Histogram::Java::Compute::Start,
25051,0,25222,2478765,23294,425,Histogram::Java::Compute::Start,
25202,0,25272,2652575,23394,425,Histogram::Java::Compute::Start,
25252,0,25373,3298750,23497,425,Histogram::Java::Compute::Start,
25352,0,25474,2459344,23597,425,Histogram::Java::Compute::Start,
25452,0,25573,2599372,23629,426,Histogram::Java::Compute::Stop,
25553,0,25680,2880715,23673,0,:: :: :: ::,
25653,0,25776,2509568,23691,533,Histogram::JavaThreaded::IO::Start,
25753,0,25878,2321488,23697,533,Histogram::JavaThreaded::IO::Start,
25853,0,25978,2595497,23747,533,Histogram::JavaThreaded::IO::Start,
25953,0,26078,2593229,23848,533,Histogram::JavaThreaded::IO::Start,
26054,0,26224,2774130,23948,533,Histogram::JavaThreaded::IO::Start,
26204,0,26324,3497952,24048,533,Histogram::JavaThreaded::IO::Start,
26304,0,26424,2767695,24149,533,Histogram::JavaThreaded::IO::Start,
26404,0,26524,2747629,24249,533,Histogram::JavaThreaded::IO::Start,
26505,0,26627,2627962,24349,533,Histogram::JavaThreaded::IO::Start,
26605,0,26675,2632504,24450,533,Histogram::JavaThreaded::IO::Start,
26655,0,26786,2621147,24550,533,Histogram::JavaThreaded::IO::Start,
26755,0,26882,2621727,24650,533,Histogram::JavaThreaded::IO::Start,
26855,0,26980,2737726,24750,533,Histogram::JavaThreaded::IO::Start,
26956,0,27076,2597469,24851,533,Histogram::JavaThreaded::IO::Start,
27056,0,27177,3325556,24951,533,Histogram::JavaThreaded::IO::Start,
27156,0,27277,2782458,25052,533,Histogram::JavaThreaded::IO::Start,
27256,0,27377,2629519,25202,533,Histogram::JavaThreaded::IO::Start,
27356,0,27479,2428876,25252,533,Histogram::JavaThreaded::IO::Start,
27457,0,27576,2493611,25353,533,Histogram::JavaThreaded::IO::Start,
27557,0,27679,2288002,25453,533,Histogram::JavaThreaded::IO::Start,
27657,0,27780,2524613,25553,533,Histogram::JavaThreaded::IO::Start,
27757,0,27882,2383602,25653,533,Histogram::JavaThreaded::IO::Start,
27857,0,27990,2187403,25753,533,Histogram::JavaThreaded::IO::Start,
27958,0,28078,2182851,25854,533,Histogram::JavaThreaded::IO::Start,
