App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:14:42 AM","7 min 22 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
16981,0,17083,1292724,17086,2243000,16177,368,Tpacf::Java::IO::Start,
17082,0,17183,1292848,17187,2243000,16278,368,Tpacf::Java::IO::Start,
17182,0,17283,1292724,17287,2243000,16378,368,Tpacf::Java::IO::Start,
17283,0,17384,1292724,17388,2243000,16478,368,Tpacf::Java::IO::Start,
17383,0,17484,1292724,17488,2243000,16579,368,Tpacf::Java::IO::Start,
17483,0,17584,1292724,17588,2243000,16680,368,Tpacf::Java::IO::Start,
17584,0,17685,1292848,17689,2239000,16781,368,Tpacf::Java::IO::Start,
17684,0,17785,1292724,17789,2239000,16882,368,Tpacf::Java::IO::Start,
17784,0,17887,1293352,17891,2239000,16983,368,Tpacf::Java::IO::Start,
17885,0,17988,1293352,17991,2239000,17083,368,Tpacf::Java::IO::Start,
17987,0,18088,1293228,18093,2239000,17183,368,Tpacf::Java::IO::Start,
18087,0,18189,1293228,18205,2239000,17283,368,Tpacf::Java::IO::Start,
18188,0,18289,1293228,18294,2239000,17384,368,Tpacf::Java::IO::Start,
18288,0,18389,1293228,18394,2239000,17484,368,Tpacf::Java::IO::Start,
18388,0,18489,1293228,18494,2239000,17585,368,Tpacf::Java::IO::Start,
18489,0,18590,1293228,18594,2239000,17685,368,Tpacf::Java::IO::Start,
18589,0,18691,1293228,18696,2304000,17785,368,Tpacf::Java::IO::Start,
18689,0,18792,1293228,18796,2304000,17887,368,Tpacf::Java::IO::Start,
18791,0,18892,1293104,18896,2304000,17988,368,Tpacf::Java::IO::Start,
18891,0,18993,1293104,18997,2304000,18088,368,Tpacf::Java::IO::Start,
18992,0,19093,1292980,19096,2304000,18189,368,Tpacf::Java::IO::Start,
19092,0,19193,1293228,19197,2304000,18289,368,Tpacf::Java::IO::Start,
19192,0,19293,1293228,19297,2304000,18389,368,Tpacf::Java::IO::Start,
19293,0,19396,1293228,19400,2304000,18490,368,Tpacf::Java::IO::Start,
19394,0,19495,1293228,19499,2304000,18590,368,Tpacf::Java::IO::Start,
19494,0,19596,1293228,19599,2304000,18691,368,Tpacf::Java::IO::Start,
19595,0,19696,1293228,19700,2234000,18792,368,Tpacf::Java::IO::Start,
19695,0,19796,1293228,19800,2234000,18892,368,Tpacf::Java::IO::Start,
19795,0,19896,1293104,19900,2234000,18993,368,Tpacf::Java::IO::Start,
19896,0,19997,1293104,20002,2234000,19093,368,Tpacf::Java::IO::Start,
19996,0,20097,1293104,20103,2234000,19194,368,Tpacf::Java::IO::Start,
20096,0,20198,1293228,20203,2234000,19294,368,Tpacf::Java::IO::Start,
20197,0,20299,1293352,20305,2234000,19396,368,Tpacf::Java::IO::Start,
20298,0,20400,1293352,20404,2234000,19495,368,Tpacf::Java::IO::Start,
20398,0,20499,1293352,20505,2234000,19596,368,Tpacf::Java::IO::Start,
20498,0,20601,1293352,20605,2234000,19696,368,Tpacf::Java::IO::Start,
20599,0,20701,1293352,20704,2214000,19796,368,Tpacf::Java::IO::Start,
