App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:41:56 PM","5 min 18 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
19583,0,19703,3134164,19383,0,Mriq::Java::Compute::Start,
19683,0,19804,3189978,19483,0,Mriq::Java::Compute::Start,
19784,0,19905,3165434,19583,0,Mriq::Java::Compute::Start,
19884,0,20004,3142130,19684,0,Mriq::Java::Compute::Start,
19984,0,20107,3512615,19784,0,Mriq::Java::Compute::Start,
20086,0,20205,3150817,19884,0,Mriq::Java::Compute::Start,
20185,0,20306,3115286,19984,0,Mriq::Java::Compute::Start,
20285,0,20409,3130731,20086,0,Mriq::Java::Compute::Start,
20385,0,20509,3125534,20185,0,Mriq::Java::Compute::Start,
20486,0,20609,3116457,20286,0,Mriq::Java::Compute::Start,
20586,0,20706,3110030,20386,0,Mriq::Java::Compute::Start,
20686,0,20807,3095309,20486,0,Mriq::Java::Compute::Start,
20786,0,20907,3044438,20586,0,Mriq::Java::Compute::Start,
20887,0,21008,3068864,20686,0,Mriq::Java::Compute::Start,
20987,0,21109,2818099,20787,0,Mriq::Java::Compute::Start,
21087,0,21208,3164414,20887,0,Mriq::Java::Compute::Start,
21187,0,21309,3038729,20987,0,Mriq::Java::Compute::Start,
21288,0,21409,3040993,21087,0,Mriq::Java::Compute::Start,
21388,0,21519,3042883,21188,0,Mriq::Java::Compute::Start,
21488,0,21609,3000952,21288,0,Mriq::Java::Compute::Start,
21589,0,21710,3037067,21388,0,Mriq::Java::Compute::Start,
21689,0,21810,3143537,21488,0,Mriq::Java::Compute::Start,
21789,0,21910,3296448,21589,0,Mriq::Java::Compute::Start,
21889,0,22010,3465217,21689,0,Mriq::Java::Compute::Start,
21990,0,22116,6016371,21789,0,Mriq::Java::Compute::Start,
22090,0,22218,3185494,21890,0,Mriq::Java::Compute::Start,
22191,0,22311,3203079,21990,0,Mriq::Java::Compute::Start,
22291,0,22414,3018248,22091,0,Mriq::Java::Compute::Start,
22391,0,22517,1910356,22191,0,Mriq::Java::Compute::Start,
22492,0,22617,3127526,22291,0,Mriq::Java::Compute::Start,
22592,0,22713,3123826,22392,0,Mriq::Java::Compute::Start,
22692,0,22814,3397020,22492,0,Mriq::Java::Compute::Start,
22793,0,22914,3374728,22592,0,Mriq::Java::Compute::Start,
22893,0,23015,3384762,22693,0,Mriq::Java::Compute::Start,
22994,0,23116,4086269,22793,0,Mriq::Java::Compute::Start,
23094,0,23216,4229203,22893,0,Mriq::Java::Compute::Start,
23194,0,23316,3567109,22994,0,Mriq::Java::Compute::Start,
23295,0,23418,1857412,23094,0,Mriq::Java::Compute::Start,
23395,0,23515,3260773,23195,0,Mriq::Java::Compute::Start,
23495,0,23625,3076171,23295,0,Mriq::Java::Compute::Start,
23595,0,23719,3327409,23396,0,Mriq::Java::Compute::Start,
23696,0,23817,2877362,23495,0,Mriq::Java::Compute::Start,
23796,0,23917,2896993,23596,0,Mriq::Java::Compute::Start,
23896,0,24018,2934602,23696,0,Mriq::Java::Compute::Start,
23997,0,24120,3523266,23796,0,Mriq::Java::Compute::Start,
24098,0,24218,3074184,23897,0,Mriq::Java::Compute::Start,
24198,0,24318,3012315,23997,0,Mriq::Java::Compute::Start,
24299,0,24420,1804372,24098,0,Mriq::Java::Compute::Start,
24399,0,24522,2736817,24199,0,Mriq::Java::Compute::Start,
24500,0,24621,3048235,24299,0,Mriq::Java::Compute::Start,
24600,0,24671,2920539,24400,0,Mriq::Java::Compute::Start,
24651,0,24826,3239567,24500,0,Mriq::Java::Compute::Start,
24802,0,24873,2942348,24601,0,Mriq::Java::Compute::Start,
24852,0,24973,2902199,24651,0,Mriq::Java::Compute::Start,
24952,0,25126,3239177,24802,0,Mriq::Java::Compute::Start,
25053,0,25227,2933143,24852,0,Mriq::Java::Compute::Start,
25204,0,25273,3124082,24952,0,Mriq::Java::Compute::Start,
25254,0,25374,3179553,25103,0,Mriq::Java::Compute::Start,
25354,0,25475,3012527,25204,0,Mriq::Java::Compute::Start,
25455,0,25575,2968353,25254,0,Mriq::Java::Compute::Start,
25555,0,25677,2859617,25354,0,Mriq::Java::Compute::Start,
25656,0,25777,2944615,25455,0,Mriq::Java::Compute::Start,
25757,0,25882,2369819,25556,0,Mriq::Java::Compute::Start,
25857,0,25978,2975405,25656,0,Mriq::Java::Compute::Start,
25957,0,26079,3862178,25757,0,Mriq::Java::Compute::Start,
26058,0,26180,2899934,25857,0,Mriq::Java::Compute::Start,
26160,0,26282,2826013,25959,0,Mriq::Java::Compute::Start,
26260,0,26381,2912852,26058,0,Mriq::Java::Compute::Start,
26361,0,26482,2950608,26160,0,Mriq::Java::Compute::Start,
26461,0,26582,2974771,26261,0,Mriq::Java::Compute::Start,
26562,0,26683,2926065,26361,0,Mriq::Java::Compute::Start,
26662,0,26783,2917669,26462,0,Mriq::Java::Compute::Start,
26762,0,26886,3155026,26562,0,Mriq::Java::Compute::Start,
26863,0,26990,3089180,26662,0,Mriq::Java::Compute::Start,
26963,0,27084,3725046,26763,0,Mriq::Java::Compute::Start,
27064,0,27185,3108793,26863,0,Mriq::Java::Compute::Start,
27164,0,27288,3245475,26964,0,Mriq::Java::Compute::Start,
27267,0,27387,3007995,27064,0,Mriq::Java::Compute::Start,
27366,0,27487,2944615,27165,0,Mriq::Java::Compute::Start,
27466,0,27591,3324163,27268,0,Mriq::Java::Compute::Start,
27568,0,27691,3239567,27366,0,Mriq::Java::Compute::Start,
27668,0,27791,2971864,27467,0,Mriq::Java::Compute::Start,
27769,0,27890,3100682,27568,0,Mriq::Java::Compute::Start,
27869,0,28006,2790195,27668,0,Mriq::Java::Compute::Start,
27970,0,28096,3139070,27769,0,Mriq::Java::Compute::Start,
28070,0,28194,2805711,27869,0,Mriq::Java::Compute::Start,
28171,0,28295,2687962,27970,0,Mriq::Java::Compute::Start,
28272,0,28395,2447491,28071,0,Mriq::Java::Compute::Start,
28372,0,28493,2578566,28172,0,Mriq::Java::Compute::Start,
28473,0,28594,2522807,28272,0,Mriq::Java::Compute::Start,
28573,0,28694,2391188,28373,0,Mriq::Java::Compute::Start,
28674,0,28795,2413210,28473,0,Mriq::Java::Compute::Start,
28774,0,28897,2324169,28573,0,Mriq::Java::Compute::Start,
28875,0,28996,2489903,28674,0,Mriq::Java::Compute::Start,
28975,0,29104,2708033,28774,0,Mriq::Java::Compute::Start,
29076,0,29205,2720345,28875,0,Mriq::Java::Compute::Start,
29177,0,29297,2647199,28976,0,Mriq::Java::Compute::Start,
29277,0,29398,1747959,29076,0,Mriq::Java::Compute::Start,
29377,0,29498,2368846,29177,0,Mriq::Java::Compute::Start,
29478,0,29599,2435657,29277,0,Mriq::Java::Compute::Start,
29578,0,29700,2414222,29377,0,Mriq::Java::Compute::Start,
29679,0,29801,2458996,29478,0,Mriq::Java::Compute::Start,
29780,0,29901,2378557,29579,0,Mriq::Java::Compute::Start,
29880,0,30001,2374343,29679,0,Mriq::Java::Compute::Start,
29980,0,30102,2478975,29780,0,Mriq::Java::Compute::Start,
30081,0,30217,2602281,29880,0,Mriq::Java::Compute::Start,
