App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
15866,0,15987,2528369,12451,47,Stencil::Java::Compute::Start,
15966,0,16095,2794310,12552,47,Stencil::Java::Compute::Start,
16067,0,16189,1942835,12653,47,Stencil::Java::Compute::Start,
16168,0,16289,2478645,12753,47,Stencil::Java::Compute::Start,
16268,0,16389,2638571,12854,47,Stencil::Java::Compute::Start,
16368,0,16489,2595111,12954,47,Stencil::Java::Compute::Start,
16468,0,16589,2611199,13054,47,Stencil::Java::Compute::Start,
16569,0,16690,2896994,13154,47,Stencil::Java::Compute::Start,
16669,0,16797,2834547,13254,47,Stencil::Java::Compute::Start,
16769,0,16892,2618424,13355,47,Stencil::Java::Compute::Start,
16869,0,16991,2655158,13455,47,Stencil::Java::Compute::Start,
16970,0,17092,2626030,13555,47,Stencil::Java::Compute::Start,
17070,0,17192,2560480,13656,47,Stencil::Java::Compute::Start,
17171,0,17293,2605008,13756,47,Stencil::Java::Compute::Start,
17272,0,17393,2584699,13856,47,Stencil::Java::Compute::Start,
17372,0,17493,2642617,13957,47,Stencil::Java::Compute::Start,
17472,0,17593,2608901,14057,47,Stencil::Java::Compute::Start,
17573,0,17694,2651426,14157,47,Stencil::Java::Compute::Start,
17673,0,17793,2599708,14258,47,Stencil::Java::Compute::Start,
17773,0,17903,2325027,14358,47,Stencil::Java::Compute::Start,
17873,0,17999,2732640,14458,47,Stencil::Java::Compute::Start,
17974,0,18095,2624612,14558,47,Stencil::Java::Compute::Start,
18074,0,18197,3121875,14659,47,Stencil::Java::Compute::Start,
18174,0,18296,2579812,14759,47,Stencil::Java::Compute::Start,
18275,0,18397,2590904,14860,47,Stencil::Java::Compute::Start,
18375,0,18497,2571981,14960,47,Stencil::Java::Compute::Start,
18475,0,18597,2614529,15061,47,Stencil::Java::Compute::Start,
18576,0,18696,2677776,15161,47,Stencil::Java::Compute::Start,
18676,0,18797,2701230,15262,47,Stencil::Java::Compute::Start,
18776,0,18898,2559097,15362,47,Stencil::Java::Compute::Start,
18877,0,18999,2621601,15464,47,Stencil::Java::Compute::Start,
18977,0,19104,2621601,15566,47,Stencil::Java::Compute::Start,
19077,0,19198,3060514,15666,47,Stencil::Java::Compute::Start,
19177,0,19298,2651426,15766,47,Stencil::Java::Compute::Start,
19278,0,19401,3189681,15866,47,Stencil::Java::Compute::Start,
19379,0,19501,2670156,15967,47,Stencil::Java::Compute::Start,
19479,0,19600,3104708,16068,47,Stencil::Java::Compute::Start,
19579,0,19702,2983230,16168,47,Stencil::Java::Compute::Start,
19680,0,19802,2399995,16268,47,Stencil::Java::Compute::Start,
19780,0,19902,2924602,16368,47,Stencil::Java::Compute::Start,
19880,0,20002,2696744,16469,47,Stencil::Java::Compute::Start,
19980,0,20105,2890049,16569,47,Stencil::Java::Compute::Start,
20081,0,20203,2489656,16669,47,Stencil::Java::Compute::Start,
20181,0,20302,2288835,16770,47,Stencil::Java::Compute::Start,
20281,0,20403,2608377,16870,47,Stencil::Java::Compute::Start,
20381,0,20504,2541778,16970,47,Stencil::Java::Compute::Start,
20482,0,20602,2611905,17071,47,Stencil::Java::Compute::Start,
20582,0,20703,2598111,17172,47,Stencil::Java::Compute::Start,
20682,0,20804,2554420,17272,47,Stencil::Java::Compute::Start,
20783,0,20905,2567814,17372,47,Stencil::Java::Compute::Start,
20883,0,21005,2613117,17472,47,Stencil::Java::Compute::Start,
20983,0,21106,2719235,17573,47,Stencil::Java::Compute::Start,
21083,0,21212,2751321,17673,47,Stencil::Java::Compute::Start,
21184,0,21305,2593696,17773,47,Stencil::Java::Compute::Start,
21284,0,21406,2593696,17874,47,Stencil::Java::Compute::Start,
21384,0,21506,2576410,17974,47,Stencil::Java::Compute::Start,
21485,0,21607,2594410,18074,47,Stencil::Java::Compute::Start,
21586,0,21707,2556266,18175,47,Stencil::Java::Compute::Start,
21686,0,21807,2538254,18275,47,Stencil::Java::Compute::Start,
21787,0,21907,2641742,18375,47,Stencil::Java::Compute::Start,
21887,0,22008,2560926,18476,47,Stencil::Java::Compute::Start,
21987,0,22108,2540645,18576,47,Stencil::Java::Compute::Start,
22087,0,22221,2755990,18676,47,Stencil::Java::Compute::Start,
22190,0,22315,2672451,18777,47,Stencil::Java::Compute::Start,
22290,0,22411,2665939,18877,47,Stencil::Java::Compute::Start,
22390,0,22511,2557938,18977,47,Stencil::Java::Compute::Start,
22490,0,22611,2639047,19077,47,Stencil::Java::Compute::Start,
22591,0,22712,2565995,19178,47,Stencil::Java::Compute::Start,
22691,0,22812,2532283,19278,47,Stencil::Java::Compute::Start,
22791,0,22913,2599708,19379,47,Stencil::Java::Compute::Start,
22892,0,23013,2557874,19479,47,Stencil::Java::Compute::Start,
22992,0,23113,2553276,19580,47,Stencil::Java::Compute::Start,
23092,0,23214,2587898,19680,47,Stencil::Java::Compute::Start,
23193,0,23317,2574493,19780,47,Stencil::Java::Compute::Start,
23294,0,23421,2612411,19880,47,Stencil::Java::Compute::Start,
23394,0,23515,2565302,19981,47,Stencil::Java::Compute::Start,
23494,0,23615,2608196,20081,47,Stencil::Java::Compute::Start,
23594,0,23715,2668713,20181,47,Stencil::Java::Compute::Start,
23695,0,23815,2673305,20282,47,Stencil::Java::Compute::Start,
23795,0,23917,2590196,20382,47,Stencil::Java::Compute::Start,
23896,0,24020,2602006,20482,47,Stencil::Java::Compute::Start,
23997,0,24121,2541091,20582,47,Stencil::Java::Compute::Start,
24097,0,24219,2626906,20683,47,Stencil::Java::Compute::Start,
24197,0,24320,2896994,20783,47,Stencil::Java::Compute::Start,
24297,0,24433,2536883,20883,47,Stencil::Java::Compute::Start,
24398,0,24528,2553966,20983,47,Stencil::Java::Compute::Start,
24498,0,24619,2400643,21084,47,Stencil::Java::Compute::Start,
24598,0,24721,2728047,21184,47,Stencil::Java::Compute::Start,
24698,0,24820,2500869,21284,47,Stencil::Java::Compute::Start,
24799,0,24920,2777467,21385,47,Stencil::Java::Compute::Start,
24900,0,25021,2504404,21485,47,Stencil::Java::Compute::Start,
25001,0,25122,2405592,21586,47,Stencil::Java::Compute::Start,
25101,0,25222,2542706,21687,47,Stencil::Java::Compute::Start,
25202,0,25324,2439299,21787,47,Stencil::Java::Compute::Start,
25303,0,25425,2700500,21887,47,Stencil::Java::Compute::Start,
25404,0,25528,2880509,21987,47,Stencil::Java::Compute::Start,
25504,0,25626,2414405,22088,47,Stencil::Java::Compute::Start,
25605,0,25726,2428847,22190,47,Stencil::Java::Compute::Start,
25706,0,25827,2428847,22290,47,Stencil::Java::Compute::Start,
25806,0,25928,2433059,22390,47,Stencil::Java::Compute::Start,
25907,0,26028,2514536,22491,47,Stencil::Java::Compute::Start,
26008,0,26130,2462860,22591,47,Stencil::Java::Compute::Start,
26109,0,26230,2543393,22691,47,Stencil::Java::Compute::Start,
26209,0,26330,2575189,22792,47,Stencil::Java::Compute::Start,
26310,0,26433,2329624,22892,47,Stencil::Java::Compute::Start,
26411,0,26538,2515896,22992,47,Stencil::Java::Compute::Start,
26511,0,26635,2331292,23092,47,Stencil::Java::Compute::Start,
26611,0,26732,2565995,23194,47,Stencil::Java::Compute::Start,
26712,0,26832,2669435,23294,47,Stencil::Java::Compute::Start,
26812,0,26933,2613117,23394,47,Stencil::Java::Compute::Start,
26912,0,27035,2604304,23494,47,Stencil::Java::Compute::Start,
27012,0,27136,2644912,23595,47,Stencil::Java::Compute::Start,
27113,0,27233,2592493,23695,47,Stencil::Java::Compute::Start,
27213,0,27334,2382996,23795,47,Stencil::Java::Compute::Start,
27313,0,27437,2263882,23897,47,Stencil::Java::Compute::Start,
27413,0,27538,2207750,23997,47,Stencil::Java::Compute::Start,
